cumulative_supply,cumulative_tvl_usd,day,net_flow,net_flow_usd,supply_amount,supply_amount_usd,withdraw_amount,withdraw_amount_usd
656873539.6763388,657630425.5298822,2024-03-14,-22362575.228636004,-22381650.505306005,44198323.606774,44236024.77681059,66560898.83541001,66617675.28211659
657511848.4163388,658269312.5776006,2024-03-15,-5549426.520524001,-5554454.300951596,638308.74,638887.0477184397,6187735.260524001,6193341.3486700365
662076843.7824378,662845323.277518,2024-03-16,-4141950.018913001,-4151944.544308638,4564995.366099,4576010.6999173965,8706945.385012,8727955.244226035
662087244.4117728,662855731.5513155,2024-03-17,10320.629335,10328.214997561223,10400.629335,10408.273797561224,80.0,80.05879999999999
662415132.1283989,663183994.0436016,2024-03-18,-99070.89484999998,-99184.13288281357,327887.71662600007,328262.4922861034,426958.61147600005,427446.625168917
681006165.0777909,681809215.9025875,2024-03-19,-3425868.938137997,-3432169.1111152433,18591032.949392002,18625221.85898593,22016901.88753,22057390.970101174
681752580.7137009,682556742.2049638,2024-03-20,-664959.14545,-665948.6046584294,746415.63591,747526.3023762341,1411374.78136,1413474.9070346635
682213554.4461958,683018355.3080257,2024-03-21,460973.732495,461613.10306197056,460973.732495,461613.10306197056,0.0,0.0
693130372.6694008,693945697.3439978,2024-03-22,3269044.5487900004,3272195.907735033,10916818.223205,10927342.035972169,7647773.674415,7655146.128237136
693130372.6694008,693945697.3439978,2024-03-23,-100.0,-100.1479,0.0,0.0,100.0,100.1479
693640442.4015098,694456422.5157126,2024-03-24,86248.75789000001,86359.58754388866,510069.732109,510725.1717147601,423820.97421899997,424365.5841708714
699874277.5126778,700693991.6941122,2024-03-25,-5821895.050146001,-5825382.365281036,6233835.111167998,6237569.178399593,12055730.161314,12062951.543680629
706235805.0951058,707060016.8765409,2024-03-26,-7638575.440021997,-7643975.912858099,6361527.582428001,6366025.182428775,14000103.022449998,14010001.095286874
706706718.2124918,707531290.7133749,2024-03-27,-6431036.758661998,-6435962.932819135,470913.117386,471273.83683391765,6901949.876047999,6907236.769653052
765753030.9301398,766615629.256413,2024-03-28,32347719.91594799,32368551.847573817,59046312.71764801,59084338.54303812,26698592.80170002,26715786.695464306
765755030.9301398,766617631.208413,2024-03-29,-299490.92295900005,-299783.226099808,2000.0,2001.9520000000002,301490.92295900005,301785.178099808
767223300.1595498,768088141.0166671,2024-03-30,1061421.7124220002,1063041.4419551557,1468269.2294100001,1470509.8082540794,406847.516988,407468.36629892373
767233300.1595498,768098144.9966671,2024-03-31,-76287.52854,-76317.89097635892,10000.0,10003.98,86287.52854,86321.87097635891
767234453.1816199,768099298.9976529,2024-04-01,95.35647199999994,95.4374296447279,1153.02207,1154.00098573743,1057.665598,1058.5635560927021
773182313.5920019,774055058.1666598,2024-04-02,2836093.941644002,2839860.274398502,5947860.410382003,5955759.169006987,3111766.4687380004,3115898.8946084846
777851869.611689,778728732.7347562,2024-04-03,-8550006.012423005,-8557547.117725953,4669556.019687,4673674.568096366,13219562.032110004,13231221.68582232
789739088.421689,790621015.4999692,2024-04-04,11844064.159131002,11849109.730462791,11887218.810000002,11892282.765213061,43154.650869,43173.03475027019
797082018.0842711,797970847.5164341,2024-04-05,7336016.147237,7342912.002415403,7342929.662582,7349832.016464827,6913.515345000001,6920.0140494243
805150554.6761351,806034655.9458553,2024-04-06,-4158713.501299002,-4156276.495187235,8068536.591863996,8063808.429421171,12227250.093162999,12220084.924608406
805795023.9276831,806679435.1871133,2024-04-07,-500243.6207360001,-500484.237917574,644469.2515479999,644779.2412579946,1144712.872284,1145263.4791755686
807158749.0571271,808043853.0889231,2024-04-08,-1789687.357596,-1790596.5187736584,1363725.129444,1364417.9018097573,3153412.48704,3155014.420583416
