borrow_amount_usd,day,ratio,supply_amount_usd,tvl_amount_usd
0,2024-08-27 00:00:00,1,22717328.646417983,22717328.646417983
0,2024-08-28 00:00:00,1,22516705.182533983,22516705.182533983
0,2024-08-29 00:00:00,1,21312387.836301982,21312387.836301982
0,2024-08-30 00:00:00,1,21319504.332883984,21319504.332883984
0,2024-08-31 00:00:00,1,20581270.569366984,20581270.569366984
0,2024-09-01 00:00:00,1,20607638.571159985,20607638.571159985
0,2024-09-02 00:00:00,1,20800560.719673984,20800560.719673984
0,2024-09-03 00:00:00,1,22363606.577561982,22363606.577561982
0,2024-09-04 00:00:00,1,21240371.137819983,21240371.137819983
0,2024-09-05 00:00:00,1,21869846.018364985,21869846.018364985
0,2024-09-06 00:00:00,1,20314945.473862983,20314945.473862983
0,2024-09-07 00:00:00,1,20363025.772073984,20363025.772073984
0,2024-09-08 00:00:00,1,20070797.823976982,20070797.823976982
0,2024-09-09 00:00:00,1,20094829.478398982,20094829.478398982
0,2024-09-10 00:00:00,1,20554054.816356983,20554054.816356983
0,2024-09-11 00:00:00,1,21019502.196553983,21019502.196553983
0,2024-09-12 00:00:00,1,21623455.31722398,21623455.31722398
0,2024-09-13 00:00:00,1,21535279.21942998,21535279.21942998
0,2024-09-14 00:00:00,1,23290732.62093298,23290732.62093298
0,2024-09-15 00:00:00,1,24484088.24127098,24484088.24127098
0,2024-09-16 00:00:00,1,24826697.948404983,24826697.948404983
0,2024-09-17 00:00:00,1,24282314.554777984,24282314.554777984
0,2024-09-18 00:00:00,1,24400193.080025982,24400193.080025982
0,2024-09-19 00:00:00,1,25205547.03191398,25205547.03191398
0,2024-09-20 00:00:00,1,27026003.704333983,27026003.704333983
0,2024-09-21 00:00:00,1,27831929.947522983,27831929.947522983
0,2024-09-22 00:00:00,1,29685433.55688598,29685433.55688598
0,2024-09-23 00:00:00,1,30424997.34207798,30424997.34207798
0,2024-09-24 00:00:00,1,28688757.769562982,28688757.769562982
0,2024-09-25 00:00:00,1,31185483.79345298,31185483.79345298
0,2024-09-26 00:00:00,1,30130478.062082984,30130478.062082984
0,2024-09-27 00:00:00,1,30075759.475500982,30075759.475500982
0,2024-09-28 00:00:00,1,32005674.37656898,32005674.37656898
0,2024-09-29 00:00:00,1,33222486.87389798,33222486.87389798
0,2024-09-30 00:00:00,1,32411579.45810198,32411579.45810198
0,2024-10-01 00:00:00,1,31081302.28849598,31081302.28849598
0,2024-10-02 00:00:00,1,31065310.258493986,31065310.258493986
0,2024-10-03 00:00:00,1,30119422.818880986,30119422.818880986
0,2024-10-04 00:00:00,1,30159319.789148986,30159319.789148986
0,2024-10-05 00:00:00,1,31390598.029754985,31390598.029754985
0,2024-10-06 00:00:00,1,31673802.785428986,31673802.785428986
0,2024-10-07 00:00:00,1,31347518.378507987,31347518.378507987
0,2024-10-08 00:00:00,1,30736360.165087987,30736360.165087987
0,2024-10-09 00:00:00,1,29742285.871166985,29742285.871166985
0,2024-10-10 00:00:00,1,24049557.584114984,24049557.584114984
0,2024-10-11 00:00:00,1,22573923.238603983,22573923.238603983
0,2024-10-12 00:00:00,1,21370482.762533985,21370482.762533985
0,2024-10-13 00:00:00,1,20282363.036668986,20282363.036668986
0,2024-10-14 00:00:00,1,21014813.246017985,21014813.246017985
0,2024-10-15 00:00:00,1,23972188.915388986,23972188.915388986
0,2024-10-16 00:00:00,1,23350316.590841983,23350316.590841983
0,2024-10-17 00:00:00,1,27130275.019813985,27130275.019813985
0,2024-10-18 00:00:00,1,28511847.967840984,28511847.967840984
0,2024-10-19 00:00:00,1,30602935.063729987,30602935.063729987
0,2024-10-20 00:00:00,1,32828410.625565987,32828410.625565987
0,2024-10-21 00:00:00,1,34143831.83146099,34143831.83146099
0,2024-10-22 00:00:00,1,34630506.035423994,34630506.035423994
0,2024-10-23 00:00:00,1,32833295.339724995,32833295.339724995
0,2024-10-24 00:00:00,1,34442661.34059499,34442661.34059499
0,2024-10-25 00:00:00,1,35826818.968132995,35826818.968132995
0,2024-10-26 00:00:00,1,39451670.829215996,39451670.829215996
0,2024-10-27 00:00:00,1,42786596.885974996,42786596.885974996
0,2024-10-28 00:00:00,1,45043685.428624,45043685.428624
0,2024-10-29 00:00:00,1,51248513.571136996,51248513.571136996
0,2024-10-30 00:00:00,1,52559086.18461099,52559086.18461099
0,2024-10-31 00:00:00,1,53492394.500646,53492394.500646
0,2024-11-01 00:00:00,1,53541931.590735,53541931.590735
0,2024-11-02 00:00:00,1,53210468.203365006,53210468.203365006
0,2024-11-03 00:00:00,1,52992262.481295004,52992262.481295004
0,2024-11-04 00:00:00,1,48372247.588682994,48372247.588682994
0,2024-11-05 00:00:00,1,50047128.915976994,50047128.915976994
0,2024-11-06 00:00:00,1,50145594.591984004,50145594.591984004
0,2024-11-07 00:00:00,1,50804759.817871004,50804759.817871004
0,2024-11-08 00:00:00,1,52317197.18914401,52317197.18914401
0,2024-11-09 00:00:00,1,48710615.77181101,48710615.77181101
0,2024-11-10 00:00:00,1,46651550.88665701,46651550.88665701
0,2024-11-11 00:00:00,1,50622552.469844006,50622552.469844006
0,2024-11-12 00:00:00,1,48009360.65382301,48009360.65382301
0,2024-11-13 00:00:00,1,43250005.28537901,43250005.28537901
0,2024-11-14 00:00:00,1,39474484.319693,39474484.319693
0,2024-11-15 00:00:00,1,42955908.547036,42955908.547036
0,2024-11-16 00:00:00,1,42284604.093117,42284604.093117
0,2024-11-17 00:00:00,1,44303220.418573,44303220.418573
0,2024-11-18 00:00:00,1,42511592.164318,42511592.164318
0,2024-11-19 00:00:00,1,41881581.50776701,41881581.50776701
