borrow_amount_usd,day,ratio,supply_amount_usd,tvl_amount_usd
0,2025-01-15 00:00:00,1,1037089.1464949962,1037089.1464949962
0,2025-01-16 00:00:00,1,1037089.1464949962,1037089.1464949962
0,2025-01-17 00:00:00,1,1037089.1464949962,1037089.1464949962
0,2025-01-18 00:00:00,1,1037089.1464949962,1037089.1464949962
0,2025-01-19 00:00:00,1,1037089.1464949962,1037089.1464949962
0,2025-01-20 00:00:00,1,989239.1466299961,989239.1466299961
0,2025-01-21 00:00:00,1,989239.1466299961,989239.1466299961
0,2025-01-22 00:00:00,1,986706.1554129962,986706.1554129962
0,2025-01-23 00:00:00,1,986706.1554129962,986706.1554129962
0,2025-01-24 00:00:00,1,966604.4244769962,966604.4244769962
0,2025-01-25 00:00:00,1,966604.4244769962,966604.4244769962
0,2025-01-26 00:00:00,1,996577.6818739962,996577.6818739962
0,2025-01-27 00:00:00,1,996577.6818739962,996577.6818739962
0,2025-01-28 00:00:00,1,996577.6818739962,996577.6818739962
0,2025-01-29 00:00:00,1,996577.6818739962,996577.6818739962
0,2025-01-30 00:00:00,1,994872.3425309962,994872.3425309962
0,2025-01-31 00:00:00,1,984116.4299069962,984116.4299069962
0,2025-02-01 00:00:00,1,790971.2418809962,790971.2418809962
0,2025-02-02 00:00:00,1,790971.2418809962,790971.2418809962
0,2025-02-03 00:00:00,1,790609.4815599961,790609.4815599961
0,2025-02-04 00:00:00,1,570222.1590569961,570222.1590569961
0,2025-02-05 00:00:00,1,570222.1590569961,570222.1590569961
0,2025-02-06 00:00:00,1,570222.1590569961,570222.1590569961
0,2025-02-07 00:00:00,1,502258.3726319961,502258.3726319961
0,2025-02-08 00:00:00,1,536356.6726319961,536356.6726319961
0,2025-02-09 00:00:00,1,588428.3177139962,588428.3177139962
0,2025-02-10 00:00:00,1,588671.9386179962,588671.9386179962
0,2025-02-11 00:00:00,1,578906.6713759962,578906.6713759962
0,2025-02-12 00:00:00,1,536519.6276609962,536519.6276609962
0,2025-02-13 00:00:00,1,613088.1089459962,613088.1089459962
0,2025-02-14 00:00:00,1,585089.1001509961,585089.1001509961
0,2025-02-15 00:00:00,1,660541.1675549961,660541.1675549961
0,2025-02-16 00:00:00,1,660541.1675549961,660541.1675549961
0,2025-02-17 00:00:00,1,607249.0087369961,607249.0087369961
0,2025-02-18 00:00:00,1,619398.9552639961,619398.9552639961
0,2025-02-19 00:00:00,1,938509.9237989963,938509.9237989963
0,2025-02-20 00:00:00,1,925627.9430419962,925627.9430419962
0,2025-02-21 00:00:00,1,1382923.0858189962,1382923.0858189962
0,2025-02-22 00:00:00,1,1170662.6343669961,1170662.6343669961
0,2025-02-23 00:00:00,1,1165161.5207109961,1165161.5207109961
0,2025-02-24 00:00:00,1,1142075.153470996,1142075.153470996
0,2025-02-25 00:00:00,1,1137225.369253996,1137225.369253996
0,2025-02-26 00:00:00,1,1067282.279418996,1067282.279418996
0,2025-02-27 00:00:00,1,966666.738395996,966666.738395996
0,2025-02-28 00:00:00,1,959709.013525996,959709.013525996
0,2025-03-01 00:00:00,1,949669.781073996,949669.781073996
0,2025-03-02 00:00:00,1,962959.122253996,962959.122253996
0,2025-03-03 00:00:00,1,962958.3543109959,962958.3543109959
0,2025-03-04 00:00:00,1,959052.2202799959,959052.2202799959
0,2025-03-05 00:00:00,1,959052.2202799959,959052.2202799959
0,2025-03-06 00:00:00,1,959040.079264996,959040.079264996
0,2025-03-07 00:00:00,1,958807.495179996,958807.495179996
0,2025-03-08 00:00:00,1,971569.174000996,971569.174000996
0,2025-03-09 00:00:00,1,971569.174000996,971569.174000996
0,2025-03-10 00:00:00,1,971568.505841996,971568.505841996
0,2025-03-11 00:00:00,1,971568.8178419961,971568.8178419961
0,2025-03-12 00:00:00,1,971568.8178419961,971568.8178419961
0,2025-03-13 00:00:00,1,970914.8430359961,970914.8430359961
0,2025-03-14 00:00:00,1,960855.414675996,960855.414675996
0,2025-03-15 00:00:00,1,960855.414675996,960855.414675996
0,2025-03-16 00:00:00,1,960855.414675996,960855.414675996
0,2025-03-17 00:00:00,1,960855.414675996,960855.414675996
0,2025-03-18 00:00:00,1,960855.414675996,960855.414675996
0,2025-03-19 00:00:00,1,928882.063566996,928882.063566996
0,2025-03-20 00:00:00,1,928882.063566996,928882.063566996
0,2025-03-21 00:00:00,1,862745.200516996,862745.200516996
0,2025-03-22 00:00:00,1,811034.990148996,811034.990148996
0,2025-03-23 00:00:00,1,810929.256309996,810929.256309996
0,2025-03-24 00:00:00,1,810826.499490996,810826.499490996
0,2025-03-25 00:00:00,1,810635.7223909961,810635.7223909961
0,2025-03-26 00:00:00,1,810635.7223909961,810635.7223909961
0,2025-03-27 00:00:00,1,810635.7223909961,810635.7223909961
0,2025-03-28 00:00:00,1,810636.492597996,810636.492597996
0,2025-03-29 00:00:00,1,899831.181781996,899831.181781996
0,2025-03-30 00:00:00,1,830121.0992279961,830121.0992279961
0,2025-03-31 00:00:00,1,830121.0992279961,830121.0992279961
0,2025-04-01 00:00:00,1,830121.0984459961,830121.0984459961
0,2025-04-02 00:00:00,1,830121.0984459961,830121.0984459961
0,2025-04-03 00:00:00,1,950280.7884459961,950280.7884459961
0,2025-04-04 00:00:00,1,1250277.280331996,1250277.280331996
0,2025-04-05 00:00:00,1,513663.640544996,513663.640544996
0,2025-04-06 00:00:00,1,513662.625186996,513662.625186996
0,2025-04-07 00:00:00,1,473663.397308996,473663.397308996
0,2025-04-08 00:00:00,1,483666.625012996,483666.625012996
0,2025-04-09 00:00:00,1,483666.625012996,483666.625012996
0,2025-04-10 00:00:00,1,523665.41498899605,523665.41498899605
0,2025-04-11 00:00:00,1,523665.41498899605,523665.41498899605
0,2025-04-12 00:00:00,1,498622.632007996,498622.632007996
0,2025-04-13 00:00:00,1,498622.632007996,498622.632007996
0,2025-04-14 00:00:00,1,498622.632007996,498622.632007996
0,2025-04-15 00:00:00,1,498622.732007996,498622.732007996
0,2025-04-16 00:00:00,1,478614.126815996,478614.126815996
0,2025-04-17 00:00:00,1,478614.576815996,478614.576815996
0,2025-04-18 00:00:00,1,448405.037005996,448405.037005996
0,2025-04-19 00:00:00,1,448405.037005996,448405.037005996
0,2025-04-20 00:00:00,1,348193.46882999595,348193.46882999595
0,2025-04-21 00:00:00,1,348193.46882999595,348193.46882999595
0,2025-04-22 00:00:00,1,338175.54020999593,338175.54020999593
0,2025-04-23 00:00:00,1,332999.41559199593,332999.41559199593
0,2025-04-24 00:00:00,1,332981.20199499594,332981.20199499594
0,2025-04-25 00:00:00,1,332981.20199499594,332981.20199499594
0,2025-04-26 00:00:00,1,332981.20199499594,332981.20199499594
0,2025-04-27 00:00:00,1,332981.20199499594,332981.20199499594
0,2025-04-28 00:00:00,1,332962.2232439959,332962.2232439959
0,2025-04-29 00:00:00,1,332962.2232439959,332962.2232439959
0,2025-04-30 00:00:00,1,332962.2232439959,332962.2232439959
0,2025-05-01 00:00:00,1,332962.2232439959,332962.2232439959
0,2025-05-02 00:00:00,1,332962.2232439959,332962.2232439959
0,2025-05-03 00:00:00,1,332962.2232439959,332962.2232439959
0,2025-05-04 00:00:00,1,332962.2232439959,332962.2232439959
0,2025-05-05 00:00:00,1,332962.2232439959,332962.2232439959
0,2025-05-06 00:00:00,1,332962.1159639959,332962.1159639959
0,2025-05-07 00:00:00,1,319749.6232219959,319749.6232219959
0,2025-05-08 00:00:00,1,319749.6232219959,319749.6232219959
0,2025-05-09 00:00:00,1,319749.6232219959,319749.6232219959
0,2025-05-10 00:00:00,1,319749.6232219959,319749.6232219959
0,2025-05-11 00:00:00,1,319749.6232219959,319749.6232219959
0,2025-05-12 00:00:00,1,319749.6232219959,319749.6232219959
0,2025-05-13 00:00:00,1,319749.6232219959,319749.6232219959
0,2025-05-14 00:00:00,1,319749.6232219959,319749.6232219959
0,2025-05-15 00:00:00,1,319749.6232219959,319749.6232219959
0,2025-05-16 00:00:00,1,319749.6232219959,319749.6232219959
0,2025-05-17 00:00:00,1,319749.6232219959,319749.6232219959
0,2025-05-18 00:00:00,1,319749.6232219959,319749.6232219959
0,2025-05-19 00:00:00,1,319749.6232219959,319749.6232219959
0,2025-05-20 00:00:00,1,319643.3254349959,319643.3254349959
0,2025-05-21 00:00:00,1,319643.3254349959,319643.3254349959
0,2025-05-22 00:00:00,1,319644.3254349959,319644.3254349959
0,2025-05-23 00:00:00,1,309348.56384299585,309348.56384299585
0,2025-05-24 00:00:00,1,309348.56384299585,309348.56384299585
0,2025-05-25 00:00:00,1,309348.56384299585,309348.56384299585
0,2025-05-26 00:00:00,1,309359.56384299585,309359.56384299585
0,2025-05-27 00:00:00,1,306186.6352979959,306186.6352979959
0,2025-05-28 00:00:00,1,306185.8562989959,306185.8562989959
0,2025-05-29 00:00:00,1,306185.8562989959,306185.8562989959
0,2025-05-30 00:00:00,1,306185.8562989959,306185.8562989959
0,2025-05-31 00:00:00,1,306185.8562989959,306185.8562989959
0,2025-06-01 00:00:00,1,306185.8562989959,306185.8562989959
0,2025-06-02 00:00:00,1,306185.8562989959,306185.8562989959
0,2025-06-03 00:00:00,1,306185.8562989959,306185.8562989959
0,2025-06-04 00:00:00,1,306185.8562989959,306185.8562989959
0,2025-06-05 00:00:00,1,306185.8562989959,306185.8562989959
0,2025-06-06 00:00:00,1,306185.8562989959,306185.8562989959
0,2025-06-07 00:00:00,1,306185.8562989959,306185.8562989959
0,2025-06-08 00:00:00,1,306185.8562989959,306185.8562989959
0,2025-06-09 00:00:00,1,306185.9662989959,306185.9662989959
0,2025-06-10 00:00:00,1,306185.9662989959,306185.9662989959
0,2025-06-11 00:00:00,1,306185.9662989959,306185.9662989959
0,2025-06-12 00:00:00,1,306185.9662819959,306185.9662819959
0,2025-06-13 00:00:00,1,406185.9662819959,406185.9662819959
0,2025-06-14 00:00:00,1,406185.9662819959,406185.9662819959
0,2025-06-15 00:00:00,1,406185.9662819959,406185.9662819959
0,2025-06-16 00:00:00,1,335597.6670469959,335597.6670469959
0,2025-06-17 00:00:00,1,335597.6670469959,335597.6670469959
0,2025-06-18 00:00:00,1,335597.6670469959,335597.6670469959
0,2025-06-19 00:00:00,1,335597.6670469959,335597.6670469959
0,2025-06-20 00:00:00,1,335597.6670469959,335597.6670469959
0,2025-06-21 00:00:00,1,335598.4495179959,335598.4495179959
0,2025-06-22 00:00:00,1,335597.6669769959,335597.6669769959
0,2025-06-23 00:00:00,1,335597.6669769959,335597.6669769959
0,2025-06-24 00:00:00,1,335982.6477219959,335982.6477219959
0,2025-06-25 00:00:00,1,2583122.522304996,2583122.522304996
0,2025-06-26 00:00:00,1,4756219.985565996,4756219.985565996
0,2025-06-27 00:00:00,1,1671097.221436996,1671097.221436996
0,2025-06-28 00:00:00,1,1600278.867927996,1600278.867927996
0,2025-06-29 00:00:00,1,1596752.022251996,1596752.022251996
0,2025-06-30 00:00:00,1,1287854.858165996,1287854.858165996
0,2025-07-01 00:00:00,1,1261349.200151996,1261349.200151996
0,2025-07-02 00:00:00,1,1261349.200151996,1261349.200151996
0,2025-07-03 00:00:00,1,991483.476786996,991483.476786996
0,2025-07-04 00:00:00,1,991494.313660996,991494.313660996
0,2025-07-05 00:00:00,1,762452.694110996,762452.694110996
0,2025-07-06 00:00:00,1,762452.694110996,762452.694110996
0,2025-07-07 00:00:00,1,762453.4812099959,762453.4812099959
0,2025-07-08 00:00:00,1,722452.6947559959,722452.6947559959
0,2025-07-09 00:00:00,1,722453.4913499958,722453.4913499958
0,2025-07-10 00:00:00,1,622063.4139309959,622063.4139309959
0,2025-07-11 00:00:00,1,502941.9178659958,502941.9178659958
0,2025-07-12 00:00:00,1,252450.2792249958,252450.2792249958
0,2025-07-13 00:00:00,1,252450.2792249958,252450.2792249958
0,2025-07-14 00:00:00,1,252450.2922249958,252450.2922249958
0,2025-07-15 00:00:00,1,252450.2922249958,252450.2922249958
