borrow_amount,borrow_amount_usd,collat_amount,day,pure_tvl_amount,pure_tvl_amount_usd,ratio,supply_amount,supply_amount_usd,tvl_amount,tvl_amount_usd
1072677.169093,1073414.098308167,0,2024-06-06 00:00:00,0.0,0.0,0.0,1072677.169093,1073414.098308167,1072677.169093,1073414.098308167
1094004.59673,1094886.3644349645,0,2024-06-07 00:00:00,0.0,0.0,0.0,1094004.59673,1094886.3644349645,1094004.59673,1094886.3644349645
1112223.7675180002,1113476.1314802254,0,2024-06-08 00:00:00,0.0,0.0,0.0,1112223.7675180002,1113476.1314802254,1112223.7675180002,1113476.1314802254
1144737.3496470002,1145662.2974255148,0,2024-06-09 00:00:00,0.0,0.0,0.0,1144737.3496470002,1145662.2974255148,1144737.3496470002,1145662.2974255148
1161985.7460320003,1162823.5377548893,0,2024-06-10 00:00:00,0.0,0.0,0.0,1161985.7460320003,1162823.5377548893,1161985.7460320003,1162823.5377548893
1180967.9361880003,1181623.3733925847,0,2024-06-11 00:00:00,0.0,0.0,0.0,1180967.9361880003,1181623.3733925847,1180967.9361880003,1181623.3733925847
1198344.4639500002,1199684.2130606964,0,2024-06-12 00:00:00,0.0,0.0,0.0,1198344.4639500002,1199684.2130606964,1198344.4639500002,1199684.2130606964
1214734.7762250002,1215255.8974440007,0,2024-06-13 00:00:00,0.0,0.0,0.0,1214734.7762250002,1215255.8974440007,1214734.7762250002,1215255.8974440007
1230829.3782320002,1231730.3453368659,0,2024-06-14 00:00:00,0.0,0.0,0.0,1230829.3782320002,1231730.3453368659,1230829.3782320002,1231730.3453368659
1250240.669316,1251232.1101667676,0,2024-06-15 00:00:00,0.0,0.0,0.0,1250240.669316,1251232.1101667676,1250240.669316,1251232.1101667676
1267869.687784,1269604.1335168886,0,2024-06-16 00:00:00,0.0,0.0,0.0,1267869.687784,1269604.1335168886,1267869.687784,1269604.1335168886
1287575.803396,1288208.0031154675,0,2024-06-17 00:00:00,0.0,0.0,0.0,1287575.803396,1288208.0031154675,1287575.803396,1288208.0031154675
1298893.005725,1299997.0647798663,0,2024-06-18 00:00:00,0.0,0.0,0.0,1298893.005725,1299997.0647798663,1298893.005725,1299997.0647798663
1321745.929973,1323063.710665183,0,2024-06-19 00:00:00,0.0,0.0,0.0,1321745.929973,1323063.710665183,1321745.929973,1323063.710665183
1333717.957956,1335235.7289921541,0,2024-06-20 00:00:00,0.0,0.0,0.0,1333717.957956,1335235.7289921541,1333717.957956,1335235.7289921541
1358742.747248,1360007.736745688,0,2024-06-21 00:00:00,0.0,0.0,0.0,1358742.747248,1360007.736745688,1358742.747248,1360007.736745688
1375831.291018,1377435.510303327,0,2024-06-22 00:00:00,0.0,0.0,0.0,1375831.291018,1377435.510303327,1375831.291018,1377435.510303327
1392919.023284,1395838.5815568035,0,2024-06-23 00:00:00,0.0,0.0,0.0,1392919.023284,1395838.5815568035,1392919.023284,1395838.5815568035
1410842.010714,1412125.8769437498,0,2024-06-24 00:00:00,0.0,0.0,0.0,1410842.010714,1412125.8769437498,1410842.010714,1412125.8769437498
1426791.663288,1428149.9689514502,0,2024-06-25 00:00:00,0.0,0.0,0.0,1426791.663288,1428149.9689514502,1426791.663288,1428149.9689514502
1442964.268043,1443726.1531765268,0,2024-06-26 00:00:00,0.0,0.0,0.0,1442964.268043,1443726.1531765268,1442964.268043,1443726.1531765268
1462873.930956,1464044.2301007647,0,2024-06-27 00:00:00,0.0,0.0,0.0,1462873.930956,1464044.2301007647,1462873.930956,1464044.2301007647
1481168.137653,1483739.4455399655,0,2024-06-28 00:00:00,0.0,0.0,0.0,1481168.137653,1483739.4455399655,1481168.137653,1483739.4455399655
1498641.035172,1500619.2413384272,0,2024-06-29 00:00:00,0.0,0.0,0.0,1498641.035172,1500619.2413384272,1498641.035172,1500619.2413384272
1515881.089408,1516407.1001460247,0,2024-06-30 00:00:00,0.0,0.0,0.0,1515881.089408,1516407.1001460247,1515881.089408,1516407.1001460247
1537628.075922,1538793.598003549,0,2024-07-01 00:00:00,0.0,0.0,0.0,1537628.075922,1538793.598003549,1537628.075922,1538793.598003549
1557168.278217,1558516.7859459359,0,2024-07-02 00:00:00,0.0,0.0,0.0,1557168.278217,1558516.7859459359,1557168.278217,1558516.7859459359
1572487.89686,1574186.1837886088,0,2024-07-03 00:00:00,0.0,0.0,0.0,1572487.89686,1574186.1837886088,1572487.89686,1574186.1837886088
