date,tvl,apy,apy_base,apy_reward
2025-05-10,16057674,3.20901,3.20901,0
2025-05-11,15764045,3.25187,3.25187,0
2025-05-12,15132348,3.34724,3.34724,0
2025-05-13,14654575,3.42751,3.42751,0
2025-05-14,14335256,3.49371,3.49371,0
2025-05-15,14927676,3.4025,3.4025,0
2025-05-16,14831371,3.4263,3.4263,0
2025-05-17,14799566,3.42702,3.42702,0
2025-05-18,14897093,3.41818,3.41818,0
2025-05-19,15124089,3.38925,3.38925,0
2025-05-20,15155215,3.38804,3.38804,0
2025-05-21,16517976,3.20332,3.20332,0
2025-05-22,15441903,3.36822,3.36822,0
2025-05-23,14790351,3.49717,3.49717,0
2025-05-24,14678587,3.52229,3.52229,0
2025-05-25,14640809,3.53161,3.53161,0
2025-05-26,15902389,3.35496,3.35496,0
2025-05-27,15703773,3.39295,3.39295,0
2025-05-28,16161423,3.32574,3.32574,0
2025-05-29,15768700,3.39669,3.39669,0
2025-05-30,14161219,3.65257,3.65257,0
2025-05-31,13564868,3.75826,3.75826,0
2025-06-01,14300898,3.63496,3.63496,0
2025-06-02,14214831,3.65612,3.65612,0
2025-06-03,13542431,3.77676,3.77676,0
2025-06-04,13441889,3.79313,3.79313,0
2025-06-05,12007106,4.06003,4.06003,0
